iter	Passed	Remaining
709	2473	1010
710	2476	1006
711	2479	1003
712	2483	999
713	2486	995
714	2489	992
715	2492	988
716	2495	985
717	2498	981
718	2501	977
719	2505	974
720	2508	970
721	2511	966
722	2514	963
723	2517	959
724	2520	956
725	2523	952
726	2526	948
727	2530	945
728	2533	941
729	2536	938
730	2540	934
731	2543	931
732	2546	927
733	2549	923
734	2552	920
735	2555	916
736	2558	913
737	2562	909
738	2565	905
739	2568	902
740	2571	898
741	2575	895
742	2579	892
743	2582	888
744	2585	884
745	2588	881
746	2592	877
747	2595	874
748	2598	870
749	2601	867
750	2605	863
751	2608	860
752	2611	856
753	2614	853
754	2618	849
755	2621	846
756	2624	842
757	2627	838
758	2630	835
759	2634	831
760	2637	828
761	2640	824
762	2643	821
763	2646	817
764	2649	814
765	2653	810
766	2656	806
767	2659	803
768	2662	799
769	2665	796
770	2668	792
771	2671	788
772	2674	785
773	2677	781
774	2680	778
775	2683	774
776	2686	771
777	2689	767
778	2692	763
779	2695	760
780	2698	756
781	2701	753
782	2704	749
783	2707	746
784	2711	742
785	2714	738
786	2717	735
787	2721	732
788	2724	728
789	2727	725
790	2730	721
791	2733	717
792	2736	714
793	2739	710
794	2743	707
795	2746	703
796	2749	700
797	2752	696
798	2755	693
799	2758	689
800	2761	686
801	2765	682
802	2768	679
803	2771	675
804	2774	672
805	2777	668
806	2780	665
807	2783	661
808	2786	657
809	2790	654
810	2793	650
811	2796	647
812	2799	643
813	2802	640
814	2805	636
815	2808	633
816	2811	629
817	2814	626
818	2817	622
819	2820	619
820	2823	615
821	2826	612
822	2829	608
823	2832	605
824	2836	601
825	2839	598
826	2842	594
827	2845	591
828	2848	587
829	2851	584
830	2854	580
831	2858	577
832	2861	573
833	2864	570
834	2867	566
835	2870	563
836	2873	559
837	2876	556
838	2879	552
839	2882	549
840	2886	545
841	2891	542
842	2895	539
843	2899	535
844	2902	532
845	2905	528
846	2908	525
847	2911	521
848	2915	518
849	2918	514
850	2921	511
851	2924	507
852	2927	504
853	2930	500
854	2933	497
855	2936	493
856	2939	490
857	2943	487
858	2946	483
859	2950	480
860	2953	476
861	2956	473
862	2959	469
863	2963	466
864	2966	462
865	2969	459
866	2972	455
867	2975	452
868	2978	449
869	2981	445
870	2984	442
871	2987	438
872	2990	435
873	2994	431
874	2997	428
875	3000	424
876	3003	421
877	3006	417
878	3009	414
879	3012	410
880	3015	407
881	3019	403
882	3024	400
883	3027	397
884	3031	393
885	3035	390
886	3038	387
887	3042	383
888	3045	380
889	3049	376
890	3052	373
891	3055	369
892	3058	366
893	3061	363
894	3065	359
895	3068	356
896	3071	352
897	3074	349
898	3077	345
899	3080	342
900	3084	338
901	3087	335
902	3090	331
903	3093	328
904	3096	325
905	3099	321
906	3102	318
907	3105	314
908	3108	311
909	3111	307
910	3115	304
911	3118	300
912	3121	297
913	3124	294
914	3127	290
915	3130	287
916	3134	283
917	3137	280
918	3140	276
919	3143	273
920	3146	269
921	3149	266
922	3152	263
923	3156	259
924	3159	256
925	3162	252
926	3165	249
927	3169	245
928	3172	242
929	3175	239
930	3178	235
931	3181	232
932	3184	228
933	3187	225
934	3190	221
935	3194	218
936	3197	214
937	3200	211
938	3203	208
939	3206	204
940	3210	201
941	3213	197
942	3216	194
943	3219	190
944	3222	187
945	3226	184
946	3229	180
