ID_DAY,ID_HOLIDAY_TYP,DS_HOLIDAY_TYP
2017-12-23,53,Vacances scolaires
2014-01-03,53,Vacances scolaires
2016-12-27,53,Vacances scolaires
2014-07-21,51,Vacances scolaires
2014-12-25,13,No�l
2014-04-29,58,Vacances scolaires zone A
2009-04-25,59,Vacances scolaires zone B
2017-07-29,51,Vacances scolaires
2018-02-22,55,Vacances scolaires zone A
2017-04-21,59,Vacances scolaires zone B
2016-07-08,51,Vacances scolaires
2015-07-25,51,Vacances scolaires
2011-09-03,51,Vacances scolaires
2018-10-03,14,Jour unit� nationale Allemagne
2015-08-14,51,Vacances scolaires
2014-01-02,53,Vacances scolaires
2018-05-10,3,Ascension
2014-08-25,51,Vacances scolaires
2014-04-18,60,Vacances scolaires zone C
2017-07-18,51,Vacances scolaires
2016-04-22,58,Vacances scolaires zone A
2016-04-18,60,Vacances scolaires zone C
2015-10-20,52,Vacances scolaires
2011-05-08,5,Victoire 1945
2018-04-09,58,Vacances scolaires zone A
2013-08-27,51,Vacances scolaires
2016-02-18,55,Vacances scolaires zone A
2012-04-23,59,Vacances scolaires zone B
2016-02-15,56,Vacances scolaires zone B
2010-12-21,53,Vacances scolaires
2012-04-14,58,Vacances scolaires zone A
2011-08-29,51,Vacances scolaires
2010-06-23,18,F�te nationale Luxembourg
2010-04-10,59,Vacances scolaires zone B
2012-01-06,25,Epiphanie Espagne
2009-03-01,56,Vacances scolaires zone B
2018-04-26,60,Vacances scolaires zone C
2014-12-06,23,F�te constitution Espagne
2017-10-27,52,Vacances scolaires
2013-07-13,51,Vacances scolaires
2015-12-31,53,Vacances scolaires
2009-02-17,55,Vacances scolaires zone A
2015-08-20,51,Vacances scolaires
2017-02-15,56,Vacances scolaires zone B
2015-02-26,57,Vacances scolaires zone C
2017-02-07,57,Vacances scolaires zone C
2009-07-29,51,Vacances scolaires
2013-04-25,58,Vacances scolaires zone A
2018-07-27,51,Vacances scolaires
2010-04-11,58,Vacances scolaires zone A
2011-02-26,57,Vacances scolaires zone C
2010-04-19,60,Vacances scolaires zone C
2016-08-22,51,Vacances scolaires
2017-07-28,51,Vacances scolaires
2011-03-06,56,Vacances scolaires zone B
2014-02-22,56,Vacances scolaires zone B
2018-03-11,56,Vacances scolaires zone B
2016-12-21,53,Vacances scolaires
2012-12-28,53,Vacances scolaires
2014-12-23,53,Vacances scolaires
2012-07-14,51,Vacances scolaires
2013-02-21,56,Vacances scolaires zone B
2014-04-16,60,Vacances scolaires zone C
2010-08-04,51,Vacances scolaires
2019-08-20,51,Vacances scolaires
2016-08-13,51,Vacances scolaires
2014-11-01,52,Vacances scolaires
2009-02-24,57,Vacances scolaires zone C
2015-08-03,51,Vacances scolaires
2017-12-27,53,Vacances scolaires
2014-02-26,56,Vacances scolaires zone B
2009-03-02,56,Vacances scolaires zone B
2010-08-01,51,Vacances scolaires
2017-01-01,1,Nouvel An
2012-07-19,51,Vacances scolaires
2015-02-28,56,Vacances scolaires zone B
2015-02-17,57,Vacances scolaires zone C
2017-04-29,58,Vacances scolaires zone A
2016-04-16,60,Vacances scolaires zone C
2018-04-23,60,Vacances scolaires zone C
2011-12-26,53,Vacances scolaires
2013-03-11,57,Vacances scolaires zone C
2016-10-22,52,Vacances scolaires
2009-04-27,59,Vacances scolaires zone B
2013-04-23,59,Vacances scolaires zone B
2016-04-13,58,Vacances scolaires zone A
2019-06-10,6,Pentec�te
2017-04-18,59,Vacances scolaires zone B
2015-02-14,57,Vacances scolaires zone C
2013-12-21,53,Vacances scolaires
2011-08-15,51,Vacances scolaires
2012-08-17,51,Vacances scolaires
2016-07-27,51,Vacances scolaires
2018-02-28,57,Vacances scolaires zone C
2018-04-16,58,Vacances scolaires zone A
2014-08-01,51,Vacances scolaires
2009-12-25,53,Vacances scolaires
2009-02-16,57,Vacances scolaires zone C
2016-10-30,52,Vacances scolaires
2016-05-16,6,Lundi de Pentec�te
2017-07-21,51,Vacances scolaires
2014-12-30,53,Vacances scolaires
2019-07-07,51,Vacances scolaires
2013-11-02,52,Vacances scolaires
2017-08-09,51,Vacances scolaires
2018-12-28,53,Vacances scolaires
2012-02-25,55,Vacances scolaires zone A
2009-02-07,55,Vacances scolaires zone A
2016-08-07,51,Vacances scolaires
2018-02-17,57,Vacances scolaires zone C
2015-12-08,21,Immac Concep
2017-08-03,51,Vacances scolaires
2019-05-02,60,Vacances scolaires zone C
2017-08-21,51,Vacances scolaires
2014-04-24,59,Vacances scolaires zone B
2017-08-01,51,Vacances scolaires
2012-08-10,51,Vacances scolaires
2011-04-25,58,Vacances scolaires zone A
2019-02-25,57,Vacances scolaires zone C
2015-07-08,51,Vacances scolaires
2015-04-25,59,Vacances scolaires zone B
2012-05-02,59,Vacances scolaires zone B
2009-06-21,7,F�te des p�res
2010-07-11,51,Vacances scolaires
2016-08-18,51,Vacances scolaires
2017-04-28,58,Vacances scolaires zone A
2011-04-17,59,Vacances scolaires zone B
2013-01-01,1,Nouvel An
2013-03-01,56,Vacances scolaires zone B
2017-07-25,51,Vacances scolaires
2014-02-23,56,Vacances scolaires zone B
2019-02-10,56,Vacances scolaires zone B
2013-07-14,9,F�te nationale
2014-04-17,60,Vacances scolaires zone C
